_id,sentence,target,aspect,score,type
685930,I charge it at night and skip taking the cord with me because of the good battery life.,cord,cord,1,headline
712912,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,tech guy,0,headline
996638,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,quality,1,headline
939474,Easy to start up and does not overheat as much as other laptops.,start up,start up,1,headline
947697,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,features,1,headline
769206,Great laptop that offers many great features!,features,features,1,headline
419951,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,GUI,0,headline
620453,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,rubber enclosure,1,headline
588374,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,multi-touch gestures,1,headline
486140,The speed is incredible and I am more than satisfied.,speed,speed,1,headline
664471,This laptop meets every expectation and Windows 7 is great!,Windows 7,Windows 7,1,headline
946499,I can barely use any usb devices because they will not stay connected properly.,usb devices,usb devices,-1,headline
974749,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,software,0,headline
936904,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,Microsoft office for the mac,-1,headline
269557,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor","30"" HD Monitor",1,headline
129979,The machine is slow to boot up and occasionally crashes completely.,boot up,boot up,-1,headline
862490,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,service,-1,headline
555289,I love the operating system and the preloaded software.,operating system,operating system,1,headline
859091,The best thing about this laptop is the price along with some of the newer features.,price,price,1,headline
706742,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,clock in BIOS setup,-1,headline
988141,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,WARRANTY SERVICE,-1,headline
744660,but now i have realized its a problem with this brand.,brand,brand,-1,headline
921818,I was looking for a mac which is portable and has all the features that I was looking for.,features,features,1,headline
105128,Also kinda loud when the fan was running.,fan,fan,-1,headline
959046,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,hard disc,0,headline
979540,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,Drivers,1,headline
923936,Spent 2 hours on phone with HP Technical Support.,HP Technical Support,HP Technical Support,0,headline
845310,"Speaking of the browser, it too has problems.",browser,browser,-1,headline
884910,The keyboard is too slick.,keyboard,keyboard,-1,headline
354999,Nightly my computer defrags itself and runs a virus scan.,virus scan,virus scan,0,headline
341059,"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,9 punds,-1,headline
406993,It's just as fast with one program open as it is with sixteen open.,program,program,0,headline
740928,"Still under warrenty so called Toshiba, no help at all.",warrenty,warrenty,-1,headline
789839,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,Toshiba Warranty,-1,headline
938756,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,webcam,1,headline
278895,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,internet,0,headline
154625,"A month or so ago, the freaking motherboard just died.",motherboard,motherboard,-1,headline
563564,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,system,-1,headline
740884,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,charger,-1,headline
206235,"If a website ever freezes (which is rare), its really easy to force quit.",force quit,force quit,1,headline
199151,It rarely works and when it does it's incredibly slow.,works,works,-1,headline
437579,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,Windows 7,1,headline
299035,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,navigate,1,headline
655410,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,warrenty,-1,headline
397209,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,extended warranty,0,headline
909071,"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,opening my Documents folder,-1,headline
201157,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,operating systems,-1,headline
716125,"Then, within 5 months, the charger crapped out on me.",charger,charger,-1,headline
866831,And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,speed,1,headline
316403,I love the glass touchpad.,glass touchpad,glass touchpad,1,headline
326351,I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive,hard drive,-1,headline
255296,I am using the external speaker- sound is good.,external speaker sound,external speaker sound,1,headline
533695,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,battery life,-1,headline
748527,"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,hardware,-1,headline
441524,"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,shipping,-1,headline
156293,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,use,1,headline
362637,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",editing,editing,-1,headline
121101,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,use,1,headline
492790,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,battery life,1,headline
290984,"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,recovery discs,1,headline
522130,"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""","Office Max's ""Max Assurance""",0,headline
318925,I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,iMac backup disc,0,headline
961132,"The battery life seems to be very good, and have had no issues with it.",battery life,battery life,1,headline
227677,Enabling the battery timer is useless.,battery timer,battery timer,-1,headline
191047,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures,Temperatures,0,headline
405239,Going to bring it to service today.,service,service,0,headline
988373,"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,virus protection for Mac,1,headline
647669,"But we had paid for bluetooth, and there was none.",bluetooth,bluetooth,-1,headline
180871,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center,LG notebook service center,0,headline
