_id,sentence,target,aspect,score,type
230611,But the staff was so horrible to us.,staff,staff,-1,headline
346564,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,food,1,headline
554551,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,food,1,headline
508088,"Not only was the food outstanding, but the little 'perks' were great.",food,food,1,headline
504297,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,orrechiete with sausage and chicken,1,headline
611678,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,Bagels,1,headline
566366,Nevertheless the food itself is pretty good.,food,food,1,headline
828096,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,mayonnaise,0,headline
520998,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,check,0,headline
217535,The design and atmosphere is just as good.,design,design,1,headline
704944,He has visited Thailand and is quite expert on the cuisine.,cuisine,cuisine,1,headline
731273,The pizza is the best if you like thin crusted pizza.,pizza,pizza,1,headline
593097,"All the money went into the interior decoration, none of it went to the chefs.",interior decoration,interior decoration,1,headline
966755,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,seats,-1,headline
541446,"I asked for seltzer with lime, no ice.",seltzer with lime,seltzer with lime,0,headline
395566,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,pickles,1,headline
659667,My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,eat family style,1,headline
544836,"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,vibe,1,headline
531376,"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,food,1,headline
113110,this little place has a cute interior decor and affordable city prices.,interior decor,interior decor,1,headline
688141,Two words: Free wine.,wine,wine,1,headline
257281,The price is reasonable although the service is poor.,price,price,1,headline
264313,"The quantity is also very good, you will come out satisfied.",quantity,quantity,1,headline
196127,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,sushi,0,headline
587731,The fried rice is amazing here.,fried rice,fried rice,1,headline
