_id,sentence,target,aspect,score,type
980092,happy national day QATAR & lt ; 3,QATAR,QATAR,0,headline
344113,Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal !!! too many questions to answer ! #FamilysConsultant,Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal,Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal,0,headline
667985,"I posted 15 photos on Facebook in the album ""PICK IT UP 23/10/11"" http://t.co/GO2tlMNc",Facebook,Facebook,0,headline
792163,"""Green Day"" urbanism gets people excited for the real thing : That's what happened to me . When I was 13 , I became ... http://t.co/MsTNrjSI","""Green Day""","""Green Day""",1,headline
409443,A good head and a good heart are always a formidable combination . ~ Mandela,Mandela,Mandela,0,headline
212451,"JB Pre ss: the unveiling of 'Ollie , the Dragon Lego' for Thistle Johor Bahru is tomorrow ( 20 Jan ) at 11am ( main lobby ) , followed by lunch :)",JB Pre ss:,JB Pre ss:,0,headline
353270,All this time I thought I was too old to understand this new trend RT @GhadahR : What's with this new trend ? ! #Gaga #Rihanna,#Gaga #Rihanna,#Gaga #Rihanna,0,headline
259833,How difficult is it to get an NHS dentist ?,NHS,NHS,0,headline
262186,#Cash NimbleCommerce Revamps Daily Deals For MediaNews Grou p: Startup NimbleCommerce wants to become the daily d ... http://t.co/XMIGIN5j,NimbleCommerce,NimbleCommerce,1,headline
515830,Is Antonia Maino aka Sonia Gandhi Really to Blame ? http://t.co/iK2826zS,Antonia Maino,Antonia Maino,0,headline
102211,Meeting Section @ KAU | Faculty Of Environmental Design http://t.co/Bl323yup,KAU,KAU,0,headline
697868,An Open Letter to the Producers Guild of America http://t.co/i52SqNQE via @huffingtonpost PGA must stop institutionallanguagediscrimination,Producers Guild of America,Producers Guild of America,-1,headline
796483,I subscribed to DrakeVEVO's channel on YouTube . http://t.co/gUBsw38s,DrakeVEVO's channel,DrakeVEVO's channel,1,headline
121640,I liked a @YouTube video http://t.co/0W3aLKQz Battlefield 3 Today : The Experience - Back To Karkand Jet Stunt,@YouTube,@YouTube,0,headline
425732,"@apgalbraith Perhaps it was written by their staff's ""Edmund Backhouse""",@apgalbraith,@apgalbraith,0,headline
460016,Stop Internet # Censorship ! Sign the global petition urging the US Congress to reject the #Blacklist Bill #SOPA http://t.co/0bwzOZZL,US Congress,US Congress,0,headline
670807,""" War on the World "" ....... How does warfare affect the 'environment ' ? -Slate http://t.co/dSpGc8O5 #War #Environment http://t.co/Xiii2h0c",-Slate,-Slate,0,headline
654779,Check this video out -- What is CrossFit ? full commercial by CrossFit by Overload http://t.co/Txkevar1 via @youtube,http://t.co/Txkevar1,http://t.co/Txkevar1,0,headline
795002,"Happy V-DAY :D have a great one and enjoy & lt ; 3 xoxo ""Lana""","""Lana""","""Lana""",0,headline
328710,"FreelanceWritingDesk Sam Rayburn : ""No one has a finer command of language than the person who keeps his mouth shut."" http://t.co/zhKZ2Mcd",Sam Rayburn,Sam Rayburn,0,headline
765505,"I know this sounds very silly and unnecessary , but I am getting really tired of this ""Poke"" business on Facebook ... http://t.co/uMfQSnuC",Facebook,Facebook,-1,headline
483346,"@ceqodujyg , I just signed up for Klout . Check out your @klout profile here : http://t.co/n1ESUw8S",Klout,Klout,0,headline
114263,""" @ thequote : The talent for being happy is appreciating & liking what you have , instead of what you don't have . ~ Woody Allen""","Woody Allen""","Woody Allen""",1,headline
669150,State NAACP endorses â parent trigger â | Thoughts on Public Education http://bit.ly/bGrW2o #CAeducation,NAACP,NAACP,0,headline
274117,Twitter is suitable for both the busy and the lazy .,Twitter,Twitter,1,headline
989024,Petition for UN laws to be changed so that cannabis can be used for medicinal use and to decriminalise growing . http://rt.nu/lt-mw8,UN,UN,0,headline
788798,Ultimetly all success is from Allah ( subhanahu wa ta'ala ) and all praises are to Him ALONE . http://t.co/8J0bc7XI,Allah,Allah,1,headline
677918,National Review : Let Syria Be : â We will hold sacred the beliefs held sacred by others . â That â s the concluding ra ... http://t.co/q2uqix8n,National Review,National Review,0,headline
